x-axis,1,2,F1
second,Volt,Volt,Volt
-42.10000E-06,-605.42471552E-03,-591.99926986E-03,-13.43862745E-03
-42.05000E-06,-605.64541880E-03,-589.55816173E-03,-16.09519109E-03
-42.00000E-06,-605.33906716E-03,-586.84225901E-03,-18.50544141E-03
-41.95000E-06,-606.29314649E-03,-584.31949757E-03,-21.98110840E-03
-41.90000E-06,-607.00223195E-03,-582.05027410E-03,-24.96073620E-03
-41.85000E-06,-606.80120235E-03,-579.24164125E-03,-27.55549650E-03
-41.80000E-06,-606.81057185E-03,-577.16168463E-03,-29.65947356E-03
-41.75000E-06,-607.56443189E-03,-574.62316163E-03,-32.94623596E-03
-41.70000E-06,-608.43670338E-03,-571.81539186E-03,-36.61388259E-03
-41.65000E-06,-608.39353434E-03,-569.84687043E-03,-38.55245504E-03
-41.60000E-06,-608.41399950E-03,-567.47570187E-03,-40.92916224E-03
-41.55000E-06,-608.85998904E-03,-564.80339783E-03,-44.04913955E-03
-41.50000E-06,-609.26801064E-03,-562.42635354E-03,-46.83068215E-03
-41.45000E-06,-609.54385676E-03,-559.88059802E-03,-49.66337087E-03
-41.40000E-06,-609.60241046E-03,-557.98192947E-03,-51.61877406E-03
-41.35000E-06,-610.32860297E-03,-555.76686515E-03,-54.55845083E-03
-41.30000E-06,-610.59392254E-03,-553.20923758E-03,-57.37949679E-03
-41.25000E-06,-611.29446389E-03,-551.24745118E-03,-60.04238045E-03
-41.20000E-06,-610.62716805E-03,-548.95481905E-03,-61.65538323E-03
-41.15000E-06,-611.37003797E-03,-546.16847550E-03,-65.18761754E-03
-41.10000E-06,-611.70098924E-03,-544.35676689E-03,-67.33982388E-03
-41.05000E-06,-612.36880142E-03,-542.03006009E-03,-70.33449762E-03
-41.00000E-06,-612.51748094E-03,-539.68392081E-03,-72.82353670E-03
-40.95000E-06,-612.78249146E-03,-537.93381117E-03,-74.82908054E-03
-40.90000E-06,-613.30596591E-03,-534.98309816E-03,-78.30492917E-03
-40.85000E-06,-612.93234310E-03,-533.12249932E-03,-79.78840723E-03
-40.80000E-06,-613.13824966E-03,-530.87144951E-03,-82.26122847E-03
-40.75000E-06,-613.79233549E-03,-528.28567575E-03,-85.49099933E-03
-40.70000E-06,-613.85073090E-03,-526.41155408E-03,-87.41840247E-03
-40.65000E-06,-614.33932037E-03,-523.72486790E-03,-90.58611804E-03
-40.60000E-06,-614.21995916E-03,-521.49130204E-03,-92.69862062E-03
